Rok,IČO,Název IČO,IČZ,Název IČZ,IČP,Název IČP,"Kód nasmlouvané odbornosti",Název odbornosti,Typ nasmlouvané odbornosti,"Kód ZP",Parametr,"Hodnota 2023"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002065,Nemocnice Milosrdných sester sv. Karla ,3H5,akutní LP psychiatrie - typ H,H,207,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002065,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002065,Nemocnice Milosrdných sester sv. Karla ,3H5,akutní LP psychiatrie - typ H,,213,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002065,Nemocnice Milosrdných sester sv. Karla ,3H5,akutní LP psychiatrie - typ H,H,207,Počet lůžek,14
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,,213,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,V,205,Počet OD,238
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,H,201,Počet lůžek,25
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,H,207,Počet lůžek,25
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,H,201,Počet OD,308
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,V,205,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,,209,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,,211,Počet OD,948
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,,213,Počet lůžek,25
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,,209,Počet OD,29
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,H,111,Počet lůžek,28
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,H,111,Počet OD,"3,494"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,,211,Počet lůžek,25
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002069,Rehabilitační oddělení,2H1,akutní LP rehabilitační a fyzikální medicíny - typ H,H,207,Počet OD,"1,117"
