Okres,Obec,0-14_let_celkem,0-14_let_muzi,0-14_let_zeny,15-64_let_celkem,15-64_let_muzi,15-64_let_zeny,65+_let_celkem,65+_let_muzi,65+_let_zeny,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari
Okres Kutná Hora,Vavřinec,21.38047138,21.54882155,21.21212121,61.61616162,62.62626263,60.60606061,17.003367,15.82491582,18.18181818,40.51851852,40.61447811,40.42255892,79.52755906
Okres Kutná Hora,Vidice,15.2173913,16.1971831,14.17910448,59.42028986,60.56338028,58.20895522,25.36231884,23.23943662,27.6119403,45.47826087,44.28873239,46.73880597,166.6666667
Okres Kutná Hora,Vinaře,14.66165414,13.95348837,15.32846715,64.28571429,68.21705426,60.58394161,21.05263158,17.82945736,24.08759124,42.77067669,41.99612403,43.5,143.5897436
Okres Kutná Hora,Vlačice,15.76923077,16.92307692,14.61538462,66.92307692,66.15384615,67.69230769,17.30769231,16.92307692,17.69230769,41.58461538,41.64615385,41.52307692,109.7560976
Okres Kutná Hora,Vlastějovice,14.4373673,14.41048035,14.46280992,57.53715499,57.6419214,57.43801653,28.02547771,27.94759825,28.09917355,46.58492569,46.85371179,46.33057851,194.1176471
Okres Kutná Hora,Vlkaneč,17.40506329,18.6746988,16,59.65189873,60.24096386,59,22.94303797,21.08433735,25,43.75474684,42.64759036,44.98,131.8181818
Okres Kutná Hora,Vodranty,17.10526316,10.81081081,23.07692308,50,54.05405405,46.15384615,32.89473684,35.13513514,30.76923077,49.03947368,50.06756757,48.06410256,192.3076923
Okres Kutná Hora,Vrdy,14.52854394,14.58202388,14.47282253,65.52277101,68.44751728,62.47544204,19.94868505,16.97045883,23.05173543,42.98364336,41.93746072,44.07367387,137.3068433
Okres Kutná Hora,Záboří nad Labem,16,17.11491443,14.90384615,62.42424242,63.56968215,61.29807692,21.57575758,19.31540342,23.79807692,43.29636364,41.71026895,44.85576923,134.8484848
Okres Kutná Hora,Zbizuby,16.69980119,19.02985075,14.04255319,64.61232604,63.43283582,65.95744681,18.68787276,17.53731343,20,43.14811133,41.65671642,44.84893617,111.9047619
Okres Kutná Hora,Zbraslavice,13.07420495,13.30532213,12.83880171,63.39222615,65.96638655,60.7703281,23.5335689,20.72829132,26.39087019,45.49575972,44.08683473,46.93081312,180
Okres Kutná Hora,Zbýšov,10.83333333,11.61290323,10,60.66666667,62.58064516,58.62068966,28.5,25.80645161,31.37931034,48.25166667,47.0516129,49.53448276,263.0769231
Okres Kutná Hora,Zruč nad Sázavou,12.78654048,12.97844259,12.61079774,61.28286015,65.2441707,57.65511684,25.93059937,21.77738671,29.73408541,46.26193481,44.62758469,47.75866237,202.7960526
